go_id,external_gene_name,namespace_1003
GO:0004693,CDK1,molecular_function
GO:0008353,CDK1,molecular_function
GO:0005789,CDK1,cellular_component
GO:0006977,CDK1,biological_process
GO:0070062,CDK1,cellular_component
GO:0016477,CDK1,biological_process
GO:0016579,CDK1,biological_process
GO:0031145,CDK1,biological_process
GO:1901990,CDK1,biological_process
GO:0000781,CDK1,cellular_component
GO:0000086,CDK1,biological_process
GO:0010389,CDK1,biological_process
GO:0097711,CDK1,biological_process
GO:0007098,CDK1,biological_process
GO:0072686,CDK1,cellular_component
GO:0005876,CDK1,cellular_component
GO:1901796,CDK1,biological_process
GO:0030855,CDK1,biological_process
GO:0000226,CDK1,biological_process
GO:0042752,CDK1,biological_process
GO:0018107,CDK1,biological_process
GO:0001618,CDK1,molecular_function
GO:0060260,CDK1,biological_process
GO:0030332,CDK1,molecular_function
GO:0007084,CDK1,biological_process
GO:0007095,CDK1,biological_process
GO:0018105,CDK1,biological_process
GO:0007077,CDK1,biological_process
GO:0007076,CDK1,biological_process
GO:0005759,CDK1,cellular_component
GO:0035173,CDK1,molecular_function
GO:0097472,CDK1,molecular_function
GO:0000278,CDK1,biological_process
GO:0007344,CDK1,biological_process
GO:0007569,CDK1,biological_process
GO:0009636,CDK1,biological_process
GO:0010243,CDK1,biological_process
GO:0010628,CDK1,biological_process
GO:0010629,CDK1,biological_process
GO:0010971,CDK1,biological_process
GO:0014038,CDK1,biological_process
GO:0014070,CDK1,biological_process
GO:0014075,CDK1,biological_process
GO:0014823,CDK1,biological_process
GO:0030261,CDK1,biological_process
GO:0031100,CDK1,biological_process
GO:0034501,CDK1,biological_process
GO:0042307,CDK1,biological_process
GO:0042493,CDK1,biological_process
GO:0042542,CDK1,biological_process
GO:0045471,CDK1,biological_process
GO:0045740,CDK1,biological_process
GO:0045931,CDK1,biological_process
GO:0045995,CDK1,biological_process
GO:0046686,CDK1,biological_process
GO:0046688,CDK1,biological_process
GO:0048678,CDK1,biological_process
GO:0055015,CDK1,biological_process
GO:0060045,CDK1,biological_process
GO:0065003,CDK1,biological_process
GO:0070301,CDK1,biological_process
GO:0070371,CDK1,biological_process
GO:0090166,CDK1,biological_process
GO:1900182,CDK1,biological_process
GO:1905448,CDK1,biological_process
GO:0000307,CDK1,cellular_component
GO:0097125,CDK1,cellular_component
GO:0003723,DEK,molecular_function
GO:0005634,DEK,cellular_component
GO:0005654,DEK,cellular_component
GO:0003677,DEK,molecular_function
GO:0006325,DEK,biological_process
GO:0005515,DEK,molecular_function
GO:0042393,DEK,molecular_function
GO:0045815,DEK,biological_process
GO:0007165,DEK,biological_process
GO:0006366,DEK,biological_process
GO:0006357,DEK,biological_process
GO:0019079,DEK,biological_process
GO:2000779,DEK,biological_process
GO:0030851,DEK,biological_process
GO:2001032,DEK,biological_process
GO:0043292,DEK,cellular_component
,DEK,
GO:0003676,CNOT7,molecular_function
GO:0030014,CNOT7,cellular_component
GO:0004535,CNOT7,molecular_function
GO:0000175,CNOT7,molecular_function
GO:0010629,CNOT7,biological_process
GO:0003723,CNOT7,molecular_function
GO:0005634,CNOT7,cellular_component
GO:0005737,CNOT7,cellular_component
GO:0016607,CNOT7,cellular_component
GO:0016020,CNOT7,cellular_component
GO:0046872,CNOT7,molecular_function
GO:0016787,CNOT7,molecular_function
GO:0006417,CNOT7,biological_process
GO:0016604,CNOT7,cellular_component
GO:0090305,CNOT7,biological_process
GO:0004518,CNOT7,molecular_function
GO:0005515,CNOT7,molecular_function
GO:0051607,CNOT7,biological_process
GO:0004527,CNOT7,molecular_function
GO:0031047,CNOT7,biological_process
GO:0090503,CNOT7,biological_process
GO:0000932,CNOT7,cellular_component
GO:0006977,CNOT7,biological_process
GO:0005829,CNOT7,cellular_component
GO:0008285,CNOT7,biological_process
GO:0000289,CNOT7,biological_process
GO:0017148,CNOT7,biological_process
GO:0060213,CNOT7,biological_process
GO:0061014,CNOT7,biological_process
GO:1900153,CNOT7,biological_process
GO:0030015,CNOT7,cellular_component
GO:0008284,CNOT7,biological_process
GO:0008134,CNOT7,molecular_function
GO:0045892,CNOT7,biological_process
GO:0003714,CNOT7,molecular_function
GO:0045070,CNOT7,biological_process
GO:0060339,CNOT7,biological_process
GO:0035195,CNOT7,biological_process
GO:0004532,CNOT7,molecular_function
GO:0043928,CNOT7,biological_process
GO:0042509,CNOT7,biological_process
GO:0000290,CNOT7,biological_process
GO:0033962,CNOT7,biological_process
GO:0045944,CNOT7,biological_process
,CNOT7,
,ZSWIM7,
